titulo,precio,kilometros,año,combustible,ciudad,garantia,url
MERCEDES-BENZ Clase C C 220 d 4MATIC Estate 5p.,39900,33000,2020,1,Pontevedra,True,/mercedes-benz-clase-c-c-220-d-4matic-estate-5p-diesel-2020-en-pontevedra-50485958-covo.aspx
MERCEDES-BENZ Clase C C Coupe 220 d 2p.,34800,86671,2017,1,Barcelona,True,/mercedes-benz-clase-c-c-coupe-220-d-2p-diesel-2017-en-barcelona-51540230-covo.aspx
MERCEDES-BENZ Clase C C 180 Estate 5p.,38300,20600,2020,2,Pontevedra,True,/mercedes-benz-clase-c-c-180-estate-5p-gasolina-2020-en-pontevedra-50509579-covo.aspx
MERCEDES-BENZ Clase C C 220 BlueTEC Avantgarde 4p.,18880,222000,2014,1,Valencia,True,/mercedes-benz-clase-c-c-220-bluetec-avantgarde-4p-diesel-2014-en-valencia-51775837-covo.aspx
MERCEDES-BENZ Clase C C 220 d Estate 5p.,26399,90399,2017,1,Madrid,True,/mercedes-benz-clase-c-c-220-d-estate-5p-diesel-2018-en-madrid-51320441-covo.aspx
MERCEDES-BENZ Clase C C 300 e 4p.,37990,39000,2020,5,Málaga,True,/mercedes-benz-clase-c-c-300-e-4p-electrico-hibrido-2020-en-malaga-51783163-covo.aspx
MERCEDES-BENZ Clase C Coupe C 220 d 2p.,59300,1,2021,1,Tarragona,True,/mercedes-benz-clase-c-coupe-c-220-d-diesel-2021-en-tarragona-51052669-covo.aspx
MERCEDES-BENZ Clase C C 200 d 4p.,26990,70940,2017,1,Valencia,True,/mercedes-benz-clase-c-c-200-d-4p-diesel-2017-en-valencia-51361380-covo.aspx
MERCEDES-BENZ Clase C C Cabrio 250 d 2p.,41950,19000,2017,1,Barcelona,True,/mercedes-benz-clase-c-c-cabrio-250-d-diesel-2017-en-barcelona-50487837-covo.aspx
MERCEDES-BENZ Clase C C 200 Coupe 2p.,29900,45000,2016,2,Salamanca,True,/mercedes-benz-clase-c-c-200-coupe-2p-gasolina-2016-en-salamanca-50882154-covo.aspx
MERCEDES-BENZ Clase C C 220 d 4p.,30490,105000,2018,1,Madrid,True,/mercedes-benz-clase-c-c-220-d-4p-diesel-2017-en-madrid-51565704-covo.aspx
MERCEDES-BENZ Clase C C 180 AVANTGARDE 4p.,25700,54500,2017,2,Valencia,True,/mercedes-benz-clase-c-c-180-avantgarde-4p-gasolina-2016-en-valencia-51782534-covo.aspx
MERCEDES-BENZ Clase C C 180 AVANTGARDE 4p.,25700,54500,2017,2,Granada,True,/mercedes-benz-clase-c-c-180-avantgarde-4p-gasolina-2016-en-granada-51782505-covo.aspx
MERCEDES-BENZ Clase C C 220 BlueTEC Sportive Avantgarde Estate 5p.,8900,150000,2015,1,Palencia,False,/mercedes-benz-clase-c-c-220-bluetec-sportive-avantgarde-estate-5p-diesel-2015-en-palencia-51782447-covo.aspx
MERCEDES-BENZ Clase C C 220 d Estate 5p.,24890,63600,2016,1,Vizcaya,True,/mercedes-benz-clase-c-c-220-d-estate-5p-diesel-2016-en-vizcaya-51782337-covo.aspx
MERCEDES-BENZ Clase C C 220 d 4p.,34999,53030,2019,1,Valencia,True,/mercedes-benz-clase-c-c-220-d-4p-diesel-2019-en-valencia-51736720-covo.aspx
