precio,kilometros,garantia,AMG,años,combustible_2,combustible_4,z_kilometros,combustible_5,tipo_200,tipo_220,tipo_250,tipo_300,tipo_350,tipo_400,tipo_43,tipo_45,tipo_450,tipo_63,tipo_NoInfo,puertas,4MATIC,Avantgarde,BlueTEC,Sportive,Exclusive,S Edition,d Edition
25600,40795,True,False,5,0,0,40793.41987416412,0,0,1,0,0,0,0,0,0,0,0,0,4,False,True,False,True,False,False,False
33900,92000,True,True,6,0,0,91998.41987416412,0,0,1,0,0,0,0,0,0,0,0,0,2,False,False,False,False,False,False,False
35900,83000,True,False,4,0,0,82998.41987416412,0,0,1,0,0,0,0,0,0,0,0,0,2,False,False,False,False,False,False,False
44500,8800,True,False,2,0,1,8798.419874164121,0,1,0,0,0,0,0,0,0,0,0,0,2,False,False,False,False,False,False,False
30000,43000,True,False,5,0,0,42998.41987416412,0,0,1,0,0,0,0,0,0,0,0,0,4,False,False,False,False,False,False,False
30000,43000,True,False,5,0,0,42998.41987416412,0,0,1,0,0,0,0,0,0,0,0,0,4,False,False,False,False,False,False,False
30000,43000,True,False,5,0,0,42998.41987416412,0,0,1,0,0,0,0,0,0,0,0,0,4,False,False,False,False,False,False,False
14999,290000,True,False,7,0,0,289998.4198741641,0,0,1,0,0,0,0,0,0,0,0,0,5,False,False,True,False,True,False,False
18500,45000,True,False,8,0,0,44998.41987416412,0,1,0,0,0,0,0,0,0,0,0,0,4,False,False,False,False,False,False,False
19890,105427,True,False,5,0,0,105425.41987416412,0,1,0,0,0,0,0,0,0,0,0,0,4,False,False,False,False,False,False,False
25700,47942,True,False,5,0,0,47940.41987416412,0,0,1,0,0,0,0,0,0,0,0,0,4,False,False,False,False,False,False,False
29900,98600,True,True,4,0,0,98598.41987416412,0,0,1,0,0,0,0,0,0,0,0,0,5,False,False,False,False,False,False,False
23890,109000,True,False,5,0,0,108998.41987416412,0,1,0,0,0,0,0,0,0,0,0,0,4,False,False,False,False,False,False,False
